hip	simbad_id	ra_deg	dec_deg	v_mag
73826	HD 133340	226.329854	-41.067237	5.127
73841	* k Boo	226.357644	48.150970	5.577
73850	HD 133469	226.391272	-30.550863	6.48
73881	HD 133399	226.510060	-48.883393	6.467
73901	HD 133550	226.558059	-36.264602	6.269
73909	HD 134190	226.569656	54.556318	5.25
73927	HD 133670	226.613095	-22.031829	6.14
73937	V* HZ Lup	226.638324	-30.918482	5.977
73941	HD 134044	226.646439	36.456065	6.351
73945	* nu. Lib	226.656652	-16.256819	5.2
73953	*  22 Lib	226.704419	-16.484361	6.404
73966	HD 133518	226.733214	-52.029779	6.39
73980	HD 133049	226.784179	-71.904952	6.5
73996	* c Boo	226.825275	24.869194	4.93
74000	HD 134064	226.834869	18.441825	6.029
74006	HD 133631	226.858126	-49.088608	5.766
74026	HD 134047	226.918007	5.498059	6.17
74044	HD 133557	226.983974	-61.128692	6.5
74047	HD 133456	226.986511	-65.275451	6.166
74066	V* HR Lup	227.050516	-40.583932	5.79
74083	HD 134493	227.081406	50.054954	6.327
74087	* b Boo	227.099096	26.301154	5.669
74096	HD 134335	227.148178	25.108635	5.804
74100	HD 133937	227.163325	-42.867923	5.82
74117	* lam Lup	227.210887	-45.279861	4.05
74121	HD 134323	227.222972	13.235237	6.142
74181	HD 133792	227.356341	-63.642930	6.247
74184	HD 133683	227.374643	-67.084135	5.757
74224	HD 134255	227.530520	-38.792510	5.978
74239	HD 134373	227.577631	-26.332625	5.756
74272	HD 135384	227.685107	67.781051	6.18
74273	HD 134060	227.686429	-61.422322	6.285
74296	* ome Oct	227.786634	-84.787786	5.866
74305	HD 134270	227.816597	-55.346030	5.43
74336	HD 134444	227.895013	-45.277460	6.41
74376	* kap Lup	227.983639	-48.737825	3.7
74380	* kap02 Lup	227.990314	-48.743686	5.498
74386	HD 134943	228.017773	18.976030	5.89
74391	HD 134758	228.050046	-19.106484	6.49
74392	* iot Lib	228.055376	-19.791711	4.54
74395	* zet Lup	228.071231	-52.099249	3.41
74418	HD 134597	228.130013	-48.218993	6.332
74421	HD 133981	228.141579	-72.770601	6.019
74441	HD 135061	228.196551	10.702307	6.5
74449	* e Lup	228.206615	-44.500414	4.806
74470	HD 134468	228.254254	-61.743777	6.269
74479	HD 134837	228.281924	-36.091419	6.079
74490	HD 134946	228.322531	-24.008316	6.47
74493	* iot02 Lib	228.329973	-19.647576	6.066
74500	*  23 Lib	228.369446	-25.309348	6.46
74505	HD 135263	228.382793	22.983394	6.298
74514	HD 135402	228.398256	38.264698	6.187
74539	HD 135051	228.472137	-26.193574	5.857
74561	HD 135438	228.525178	31.787846	5.974
74571	HD 135530	228.542978	42.171405	6.13
74582	V* X TrA	228.579898	-70.079476	5.81
74596	* chi Boo	228.621495	29.164296	5.272
74600	*  26 Lib	228.640658	-17.768571	6.172
74604	* i Lup	228.655499	-31.519124	4.918
74623	HD 135367	228.710819	-5.502552	6.29
74649	*   3 Ser	228.797320	4.939355	5.337
74666	* del Boo	228.875678	33.314831	3.49
74689	*   4 Ser	228.954490	0.372138	5.623
74690	HD 135944	228.961279	50.938461	6.48
74695	HD 135615	228.973185	6.464838	6.46
74696	HD 135235	228.973638	-48.073685	5.958
